In	Amp	Phase
1.538929489645588233e-01	1.826897039995266070e+01	2.300078936081375591e+00
1.541057281574115534e-01	1.826095369071086694e+01	2.299589974594119735e+00
1.543188015481806175e-01	1.825294132071353914e+01	2.299100585223269988e+00
1.545321695436369103e-01	1.824493329563532740e+01	2.298610767639316155e+00
1.547458325511140154e-01	1.823692962115767102e+01	2.298120521512983405e+00
1.549597909785084549e-01	1.822893030296882699e+01	2.297629846515235386e+00
1.551740452342810217e-01	1.822093534676386639e+01	2.297138742317276439e+00
1.553885957274569740e-01	1.821294475824466375e+01	2.296647208590554268e+00
1.556034428676273118e-01	1.820495854311989703e+01	2.296155245006761270e+00
1.558185870649492488e-01	1.819697670710507253e+01	2.295662851237839863e+00
1.560340287301471562e-01	1.818899925592249289e+01	2.295170026955982046e+00
1.562497682745132288e-01	1.818102619530129616e+01	2.294676771833633833e+00
1.564658061099084285e-01	1.817305753097741317e+01	2.294183085543497036e+00
1.566821426487630398e-01	1.816509326869360663e+01	2.293688967758532815e+00
1.568987783040777517e-01	1.815713341419944626e+01	2.293194418151962122e+00
1.571157134894241025e-01	1.814917797325133719e+01	2.292699436397271473e+00
1.573329486189456727e-01	1.814122695161247734e+01	2.292204022168212507e+00
1.575504841073584184e-01	1.813328035505291069e+01	2.291708175138806869e+00
1.577683203699518644e-01	1.812533818934948115e+01	2.291211894983347541e+00
1.579864578225897431e-01	1.811740046028587514e+01	2.290715181376401510e+00
1.582048968817106605e-01	1.810946717365257896e+01	2.290218033992813762e+00
1.584236379643290671e-01	1.810153833524692502e+01	2.289720452507707726e+00
1.586426814880359804e-01	1.809361395087304558e+01	2.289222436596490606e+00
1.588620278709999001e-01	1.808569402634191547e+01	2.288723985934852934e+00
1.590816775319673637e-01	1.807777856747132361e+01	2.288225100198775230e+00
1.593016308902639178e-01	1.806986758008589788e+01	2.287725779064526233e+00
1.595218883657949505e-01	1.806196107001707318e+01	2.287226022208669551e+00
1.597424503790464134e-01	1.805405904310311627e+01	2.286725829308063229e+00
1.599633173510855433e-01	1.804616150518913642e+01	2.286225200039865069e+00
1.601844897035619164e-01	1.803826846212704638e+01	2.285724134081533521e+00
1.604059678587079762e-01	1.803037991977560495e+01	2.285222631110831237e+00
1.606277522393400325e-01	1.802249588400038860e+01	2.284720690805828180e+00
1.608498432688589275e-01	1.801461636067379857e+01	2.284218312844903398e+00
1.610722413712510626e-01	1.800674135567506795e+01	2.283715496906748132e+00
1.612949469710888706e-01	1.799887087489026172e+01	2.283212242670369818e+00
1.615179604935319535e-01	1.799100492421227315e+01	2.282708549815092969e+00
1.617412823643276931e-01	1.798314350954080965e+01	2.282204418020563175e+00
1.619649130098121947e-01	1.797528663678242467e+01	2.281699846966748879e+00
1.621888528569108978e-01	1.796743431185048223e+01	2.281194836333945819e+00
1.624131023331397417e-01	1.795958654066518889e+01	2.280689385802779245e+00
1.626376618666055540e-01	1.795174332915356885e+01	2.280183495054205256e+00
1.628625318860072169e-01	1.794390468324948884e+01	2.279677163769515680e+00
1.630877128206362769e-01	1.793607060889361904e+01	2.279170391630340742e+00
1.633132051003778895e-01	1.792824111203347215e+01	2.278663178318649507e+00
1.635390091557115955e-01	1.792041619862338564e+01	2.278155523516756098e+00
1.637651254177120985e-01	1.791259587462451819e+01	2.277647426907320583e+00
1.639915543180500423e-01	1.790478014600486389e+01	2.277138888173352083e+00
1.642182962889931208e-01	1.789696901873922741e+01	2.276629906998212771e+00
1.644453517634065498e-01	1.788916249880925236e+01	2.276120483065618760e+00
1.646727211747541220e-01	1.788136059220339291e+01	2.275610616059645430e+00
1.649004049570988173e-01	1.787356330491693512e+01	2.275100305664727873e+00
1.651284035451039411e-01	1.786577064295200046e+01	2.274589551565666667e+00
1.653567173740337626e-01	1.785798261231749251e+01	2.274078353447627432e+00
1.655853468797541805e-01	1.785019921902918583e+01	2.273566710996147933e+00
1.658142924987340283e-01	1.784242046910963708e+01	2.273054623897136306e+00
1.660435546680453511e-01	1.783464636858824193e+01	2.272542091836878608e+00
1.662731338253647106e-01	1.782687692350119946e+01	2.272029114502038372e+00
1.665030304089736846e-01	1.781911213989155129e+01	2.271515691579661933e+00
1.667332448577599213e-01	1.781135202380912830e+01	2.271001822757178878e+00
1.669637776112178063e-01	1.780359658131059675e+01	2.270487507722408704e+00
1.671946291094495440e-01	1.779584581845942282e+01	2.269972746163560373e+00
1.674257997931656583e-01	1.778809974132589744e+01	2.269457537769237199e+00
1.676572901036861574e-01	1.778035835598711145e+01	2.268941882228439066e+00
1.678891004829411449e-01	1.777262166852698044e+01	2.268425779230566874e+00
1.681212313734718744e-01	1.776488968503622345e+01	2.267909228465424309e+00
1.683536832184313048e-01	1.775716241161235232e+01	2.267392229623219624e+00
1.685864564615852934e-01	1.774943985435971783e+01	2.266874782394573185e+00
1.688195515473131236e-01	1.774172201938944937e+01	2.266356886470514809e+00
1.690529689206086150e-01	1.773400891281947978e+01	2.265838541542492202e+00
1.692867090270807895e-01	1.772630054077456307e+01	2.265319747302370512e+00
1.695207723129548150e-01	1.771859690938623899e+01	2.264800503442436774e+00
1.697551592250727548e-01	1.771089802479284714e+01	2.264280809655402571e+00
1.699898702108945947e-01	1.770320389313952347e+01	2.263760665634408031e+00
1.702249057184990200e-01	1.769551452057820384e+01	2.263240071073024495e+00
1.704602661965841093e-01	1.768782991326761689e+01	2.262719025665256734e+00
